Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
0.01,0.0,0.34666666666666673,0.02,0.0,0.0,0.6233333333333334,0.0
0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.89
0.0,0.0,0.03,0.82,0.0,0.01,0.14,0.0
0.03,0.07,0.01,0.0,0.0,0.0,0.0,0.89
0.0,0.0,0.41,0.01,0.0,0.0,0.58,0.0
0.07,0.23,0.02,0.0,0.0,0.0,0.0,0.68
0.02,0.48,0.35,0.02,0.0,0.0,0.12,0.01
0.0,0.0,0.0,0.95,0.0,0.0,0.05,0.0
0.08,0.07,0.09,0.0,0.01,0.0,0.02,0.73
0.92,0.0,0.0,0.03,0.0,0.0,0.0,0.05
0.02,0.03,0.35,0.27,0.0,0.0,0.33,0.0
0.0,0.39,0.13,0.0,0.0,0.0,0.01,0.47
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.02,0.88,0.0,0.01,0.09,0.0
0.01,0.0,0.06,0.35333333333333333,0.0,0.0,0.5766666666666667,0.0
0.34,0.16,0.1,0.016666666666666666,0.14333333333333334,0.0,0.17,0.07
0.07,0.0,0.02,0.9,0.0,0.01,0.0,0.0
0.0,0.0,0.08666666666666668,0.29333333333333333,0.0,0.0,0.62,0.0
0.01,0.0,0.06,0.6025,0.0,0.0,0.3275,0.0
0.0,0.03,0.1,0.23,0.01,0.0,0.63,0.0
0.0,0.01,0.02,0.56,0.0,0.0,0.41,0.0
0.0,0.0,0.08,0.445,0.0,0.0,0.475,0.0
0.0,0.58,0.39,0.0,0.0,0.0,0.0,0.03
0.0,0.0,0.01,0.98,0.0,0.0,0.01,0.0
0.0,0.0,0.2,0.09,0.0,0.0,0.71,0.0
0.99,0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.08,0.12,0.03,0.0,0.0,0.0,0.0,0.77
0.0,0.0,0.02,0.2,0.0,0.01,0.77,0.0
0.0,0.33,0.28,0.05,0.0,0.0,0.23,0.11
0.0,0.0,0.12,0.48,0.0,0.0,0.4,0.0
0.02,0.0,0.07,0.55,0.0,0.0,0.36,0.0
0.0,0.02,0.24,0.18666666666666665,0.0,0.0,0.5533333333333333,0.0
0.0,0.0,0.03,0.46,0.0,0.0,0.51,0.0
0.0,0.0,0.02,0.9,0.0,0.0,0.08,0.0
0.01,0.16,0.63,0.02,0.0,0.0,0.11,0.07
0.0,0.0,0.01,0.81,0.0,0.02,0.16,0.0
0.0,0.0,0.09,0.72,0.0,0.01,0.18,0.0
0.0,0.24,0.41,0.01,0.0,0.0,0.01,0.33
0.0,0.11,0.46,0.05,0.0,0.0,0.33,0.05
0.07,0.25,0.02,0.01,0.0,0.0,0.0,0.65
0.0,0.01,0.76,0.03,0.0,0.0,0.2,0.0
0.02,0.09,0.04,0.0,0.0,0.01,0.02,0.82
0.0,0.01,0.01,0.88,0.0,0.03,0.07,0.0
0.715,0.01,0.22,0.0,0.045,0.0,0.01,0.0
0.0,0.22,0.0,0.01,0.0,0.0,0.0,0.77
0.0,0.17,0.59,0.0,0.0,0.0,0.24,0.0
0.0,0.0,0.0,0.06,0.0,0.0,0.94,0.0
0.0,0.0,0.02,0.56,0.0,0.0,0.42,0.0
0.0,0.0,0.09,0.18,0.0,0.0,0.73,0.0
0.01,0.18,0.11,0.0,0.0,0.0,0.03,0.67
0.0,0.04,0.11,0.68,0.0,0.0,0.16,0.01
0.0,0.1,0.54,0.03,0.0,0.0,0.31,0.02
0.01,0.06,0.35,0.11,0.0,0.0,0.47,0.0
0.0,0.19,0.57,0.0,0.0,0.0,0.21,0.03
0.01,0.0,0.0,0.81,0.0,0.06,0.12,0.0
0.01,0.0,0.06,0.71,0.0,0.09,0.13,0.0
0.96,0.0,0.0,0.0,0.04,0.0,0.0,0.0
0.9,0.0,0.07,0.0,0.02,0.0,0.0,0.01
0.0,0.0,0.03,0.01,0.0,0.0,0.96,0.0
0.0,0.0,0.11,0.59,0.0,0.0,0.3,0.0
0.19,0.26,0.05,0.0,0.0,0.0,0.0,0.5
0.0,0.55,0.25,0.0,0.0,0.0,0.14,0.06
0.01,0.17,0.65,0.0,0.0,0.0,0.14,0.03
0.0,0.0,0.02,0.38,0.0,0.0,0.6,0.0
0.0,0.0,0.04,0.5531666666666666,0.0,0.01,0.39683333333333337,0.0
0.0,0.01,0.11,0.08,0.0,0.0,0.8,0.0
0.0,0.0,0.0,0.76,0.0,0.0,0.24,0.0
0.0,0.07,0.4,0.22,0.0,0.0,0.31,0.0
0.0,0.0,0.06,0.68,0.0,0.0,0.26,0.0
0.01,0.0,0.02,0.81,0.0,0.01,0.14,0.01
0.0,0.0,0.0,0.89,0.0,0.05,0.06,0.0
0.01,0.18,0.0,0.0,0.01,0.0,0.0,0.8
0.05,0.38,0.22,0.0,0.0,0.0,0.05,0.3
0.0,0.0,0.02,0.04,0.0,0.0,0.94,0.0
0.0,0.34,0.49,0.0,0.0,0.0,0.06,0.11
0.0,0.02,0.85,0.0,0.0,0.0,0.12,0.01
0.0,0.01,0.01,0.2,0.0,0.03,0.75,0.0
0.0,0.06,0.0,0.81,0.0,0.03,0.1,0.0
0.01,0.47,0.24,0.0,0.0,0.0,0.08,0.2
0.01,0.25,0.16,0.01,0.02,0.0,0.06,0.49
0.0,0.82,0.02,0.0,0.0,0.0,0.0,0.16
0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.1,0.52,0.0,0.0,0.38,0.0
0.02,0.0,0.01,0.71,0.0,0.0,0.26,0.0
0.0,0.0,0.0,0.62,0.0,0.0,0.38,0.0
0.0,0.0,0.0,0.07,0.0,0.0,0.93,0.0
0.02,0.0,0.0,0.84,0.0,0.0,0.14,0.0
0.0,0.0,0.01,0.92,0.0,0.01,0.06,0.0
0.0,0.0,0.05,0.55,0.0,0.0,0.4,0.0
0.0,0.0,0.06,0.21,0.0,0.0,0.73,0.0
0.04,0.06,0.17,0.19,0.0,0.01,0.53,0.0
0.0,0.0,0.0,0.99,0.0,0.01,0.0,0.0
0.01,0.0,0.01,0.81,0.0,0.01,0.16,0.0
0.0,0.0,0.07,0.72,0.0,0.0,0.21,0.0
0.01,0.03,0.08,0.12,0.0,0.01,0.73,0.02
0.02,0.36,0.07,0.0,0.0,0.0,0.0,0.55
0.0,0.0,0.04,0.77,0.0,0.02,0.17,0.0
0.84,0.0,0.0,0.05,0.04,0.0,0.0,0.07
0.0,0.0,0.01,0.96,0.0,0.03,0.0,0.0
0.0,0.2,0.72,0.0,0.0,0.0,0.08,0.0
0.89,0.01,0.0,0.0,0.0,0.0,0.08,0.02
0.01,0.01,0.24,0.12,0.0,0.02,0.6,0.0
0.0,0.0,0.23,0.43,0.0,0.0,0.34,0.0
0.0,0.0,0.04,0.75,0.0,0.05,0.16,0.0
0.0,0.0,0.19,0.31,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.95,0.0,0.02,0.03,0.0
0.0,0.0,0.0,0.16,0.0,0.0,0.84,0.0
0.08,0.0,0.0,0.82,0.01,0.03,0.06,0.0
0.0,0.0,0.01,0.94,0.0,0.01,0.04,0.0
0.01,0.0,0.0,0.76,0.0,0.0,0.23,0.0
0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.26,0.55,0.0,0.0,0.0,0.15,0.03
0.0,0.34,0.59,0.0,0.0,0.0,0.07,0.0
0.0,0.01,0.3,0.32,0.0,0.0,0.37,0.0
0.0,0.0,0.0,0.41,0.0,0.0,0.59,0.0
0.01,0.34,0.49,0.0,0.0,0.0,0.16,0.0
0.0,0.07,0.48,0.06,0.0,0.0,0.38,0.01
0.0,0.0,0.13,0.05,0.0,0.0,0.82,0.0
0.0,0.1,0.44,0.02,0.0,0.0,0.44,0.0
0.0,0.63,0.17,0.0,0.0,0.0,0.0,0.2
0.06,0.22,0.1,0.03,0.01,0.0,0.03,0.55
0.0,0.0,0.34,0.03,0.0,0.0,0.62,0.01
0.0,0.0,0.0,0.94,0.0,0.01,0.05,0.0
0.0,0.17,0.5215555555555556,0.01,0.0,0.0,0.2384444444444444,0.06
0.0,0.16,0.46,0.0,0.0,0.0,0.32,0.06
0.0,0.0,0.01,0.61,0.0,0.02,0.36,0.0
0.0,0.0,0.06,0.83,0.0,0.0,0.11,0.0
0.0,0.01,0.03,0.01,0.0,0.0,0.95,0.0
0.78,0.01,0.14,0.0,0.06,0.0,0.01,0.0
0.25,0.29,0.01,0.0,0.0,0.0,0.0,0.45
0.0,0.0,0.02,0.53,0.0,0.02,0.43,0.0
0.04,0.01,0.11,0.5,0.0,0.0,0.3,0.04
0.04,0.06,0.21,0.02,0.0,0.0,0.53,0.14
0.06,0.0,0.065,0.805,0.0,0.02,0.05,0.0
0.02,0.13,0.08,0.02,0.01,0.0,0.0,0.74
0.02,0.02,0.05,0.75,0.0,0.0,0.16,0.0
