iter	MultiClass
0	1.873223803
1	1.724496966
2	1.613113219
3	1.525655448
4	1.450415519
5	1.391491838
6	1.339609429
7	1.297098487
8	1.259643755
9	1.223026844
10	1.192963472
11	1.166462124
12	1.141140053
13	1.118970066
14	1.101148639
15	1.0845377
16	1.068061788
17	1.05387671
18	1.043260088
19	1.0322497
20	1.022820195
21	1.014006115
22	1.005229981
23	0.9947184857
24	0.9870498526
25	0.9796574886
26	0.9735247415
27	0.967459761
28	0.9615678974
29	0.9576151964
30	0.952888233
31	0.9495492082
32	0.9453800774
33	0.9397576443
34	0.9363377283
35	0.9303795494
36	0.927212116
37	0.9237079164
38	0.9206826921
39	0.9170329738
40	0.9142244519
41	0.911036926
42	0.9084037268
43	0.9061771993
44	0.9034216752
45	0.9001594616
46	0.8975434578
47	0.895146339
48	0.893015118
49	0.8907002121
50	0.8887049866
51	0.8870280859
52	0.8858178886
53	0.8836395663
54	0.8812328293
55	0.8801637126
56	0.8787424764
57	0.877328697
58	0.8758323949
59	0.8742401567
60	0.8726392229
61	0.8712157645
62	0.8694573166
63	0.8686888555
64	0.8670198141
65	0.8653832404
66	0.8637584992
67	0.861899352
68	0.8603402638
69	0.8592203877
70	0.858075565
71	0.8548371328
72	0.8539234801
73	0.851684866
74	0.8504950147
75	0.8485991725
76	0.8477857621
77	0.8465375455
78	0.8451694588
79	0.8440435734
80	0.8415099202
81	0.8403132513
82	0.8382102931
83	0.8372436181
84	0.8358558084
85	0.8349356159
86	0.8337425241
87	0.8325254677
88	0.8313847768
89	0.8301061373
90	0.8288717006
91	0.8274306571
92	0.8263947632
93	0.8254810656
94	0.824513764
95	0.8234259309
96	0.8225210242
97	0.821118355
98	0.8200272935
99	0.8195265969
100	0.8188089639
101	0.8174554192
102	0.8160647569
103	0.8152092531
104	0.813877665
105	0.8120435399
106	0.810129505
107	0.8092784768
108	0.8083644263
109	0.807245332
110	0.8060514174
111	0.8047789915
112	0.8037244826
113	0.8026659041
114	0.8016184741
115	0.7993707526
116	0.7984105622
117	0.7976286696
118	0.7963045932
119	0.7955664069
120	0.7940656143
121	0.7932540748
122	0.7920820813
123	0.7908826291
124	0.7899942193
125	0.7887409504
126	0.7878182057
127	0.7870429369
128	0.7858894563
129	0.7854339182
130	0.7838561215
131	0.782925945
132	0.7822356605
133	0.780950713
134	0.7802202526
135	0.7792478589
136	0.778731346
137	0.7777721412
138	0.7765771821
139	0.7757785663
140	0.7753122088
141	0.7744191906
142	0.7733676183
143	0.7727021985
144	0.7717471358
145	0.7709848172
146	0.7702060338
147	0.769298132
148	0.7688429433
149	0.7676993642
150	0.7670823936
151	0.7660373648
152	0.7654126454
153	0.7649602136
154	0.7640788571
155	0.7633228189
156	0.7624949679
157	0.7622091478
158	0.7612313729
159	0.7605863787
160	0.7598965326
161	0.7589050534
162	0.7582421882
