iter	Passed	Remaining
0	48	14366
1	92	13819
2	137	13591
3	175	12970
4	206	12175
5	243	11940
6	270	11325
7	303	11074
8	344	11131
9	378	10988
10	410	10771
11	444	10667
12	472	10422
13	505	10326
14	537	10216
15	564	10022
16	597	9950
17	626	9808
18	656	9709
19	687	9631
20	713	9481
21	751	9501
22	784	9451
23	817	9396
24	845	9302
25	878	9262
26	906	9167
27	934	9073
28	964	9015
29	994	8954
30	1023	8879
31	1052	8812
32	1086	8787
33	1120	8767
34	1151	8718
35	1177	8637
36	1203	8553
37	1228	8466
38	1259	8430
39	1285	8354
40	1310	8276
41	1337	8218
42	1374	8216
43	1404	8169
44	1433	8124
45	1464	8084
46	1496	8055
47	1523	7996
48	1560	7993
49	1578	7894
50	1605	7838
51	1638	7812
52	1665	7761
53	1691	7706
54	1718	7655
55	1742	7592
56	1774	7565
57	1810	7553
58	1832	7483
59	1864	7457
60	1896	7431
61	1929	7407
62	1962	7383
63	1998	7367
64	2026	7328
65	2057	7295
66	2092	7275
67	2128	7260
68	2158	7225
69	2190	7196
70	2220	7162
71	2252	7131
72	2289	7118
73	2326	7105
74	2368	7105
75	2388	7040
76	2407	6972
77	2424	6901
78	2448	6850
79	2478	6817
80	2514	6799
81	2549	6777
82	2582	6750
83	2613	6721
84	2645	6691
85	2678	6664
86	2708	6630
87	2743	6609
88	2779	6590
89	2804	6544
90	2831	6502
91	2862	6471
92	2893	6440
93	2934	6431
94	2972	6414
95	3010	6397
96	3043	6370
97	3074	6337
98	3109	6313
99	3141	6283
100	3168	6242
101	3200	6213
102	3230	6179
103	3261	6146
104	3286	6103
105	3316	6070
106	3344	6033
107	3379	6007
108	3414	5983
109	3446	5953
110	3478	5922
111	3511	5893
112	3544	5865
113	3574	5831
114	3602	5795
115	3632	5761
116	3664	5731
117	3697	5703
118	3731	5675
119	3763	5645
120	3791	5608
121	3823	5579
122	3858	5552
123	3891	5522
124	3924	5494
125	3957	5465
126	3988	5433
127	4027	5411
128	4061	5383
129	4099	5360
130	4136	5336
131	4177	5316
132	4210	5286
133	4245	5259
134	4280	5231
135	4319	5208
136	4350	5176
137	4386	5149
138	4422	5122
139	4456	5093
140	4489	5062
141	4524	5034
142	4554	5000
143	4588	4971
144	4622	4941
145	4658	4913
146	4691	4883
147	4723	4850
148	4754	4818
149	4780	4780
150	4809	4745
151	4842	4715
152	4878	4687
153	4915	4659
154	4948	4629
155	4979	4596
156	5012	4565
157	5045	4534
158	5078	4503
159	5109	4470
160	5150	4446
161	5186	4418
162	5221	4388
163	5256	4358
164	5292	4330
165	5326	4299
166	5360	4269
167	5393	4237
168	5427	4207
169	5460	4175
170	5495	4145
171	5528	4114
172	5561	4082
173	5594	4051
174	5628	4020
175	5662	3989
176	5698	3959
177	5736	3931
178	5764	3896
179	5798	3865
180	5832	3834
181	5869	3805
182	5901	3772
183	5922	3733
184	5944	3694
185	5962	3654
186	5985	3616
187	6005	3577
188	6032	3542
189	6069	3514
190	6100	3481
191	6128	3447
192	6160	3415
193	6193	3384
194	6223	3351
195	6256	3319
196	6293	3290
197	6325	3258
198	6364	3230
199	6396	3198
200	6430	3167
201	6465	3136
202	6496	3104
203	6529	3072
204	6561	3040
205	6595	3009
206	6630	2978
207	6664	2947
208	6697	2916
209	6733	2885
210	6766	2853
211	6799	2822
212	6828	2788
213	6861	2757
214	6894	2725
215	6929	2694
216	6963	2663
217	6997	2631
218	7031	2600
219	7066	2569
220	7099	2537
221	7136	2507
222	7169	2475
223	7202	2443
224	7235	2411
225	7270	2380
226	7303	2348
227	7337	2317
228	7370	2285
229	7401	2252
230	7438	2221
231	7480	2192
232	7515	2161
233	7550	2129
234	7583	2097
235	7614	2065
236	7645	2032
237	7679	2000
238	7714	1968
239	7746	1936
240	7776	1903
241	7807	1871
242	7838	1838
243	7864	1804
244	7899	1773
245	7930	1740
246	7963	1708
247	7998	1677
248	8032	1645
249	8069	1613
250	8101	1581
251	8135	1549
252	8168	1517
253	8201	1485
254	8230	1452
255	8269	1421
256	8308	1390
257	8341	1357
258	8373	1325
259	8410	1293
260	8443	1261
261	8476	1229
262	8511	1197
263	8544	1165
264	8575	1132
265	8615	1101
266	8648	1068
267	8671	1035
268	8690	1001
269	8720	968
270	8755	936
271	8787	904
272	8822	872
273	8857	840
274	8893	808
275	8927	776
276	8959	743
277	8992	711
278	9026	679
279	9061	647
280	9096	615
281	9129	582
282	9163	550
283	9195	518
284	9229	485
285	9265	453
286	9299	421
287	9328	388
288	9361	356
289	9395	323
290	9429	291
291	9464	259
292	9503	227
293	9535	194
294	9573	162
295	9607	129
296	9640	97
297	9671	64
298	9701	32
299	9734	0
