iter	MultiClass
0	2.231434748
1	2.117095852
2	2.032692206
3	1.967477762
4	1.91393816
5	1.869181629
6	1.831129416
7	1.797447348
8	1.769573702
9	1.747069761
10	1.726199193
11	1.710805882
12	1.694560147
13	1.68059248
14	1.670483974
15	1.660282917
16	1.650752665
17	1.642242102
18	1.635624133
19	1.629336527
20	1.623157079
21	1.618192842
22	1.612734571
23	1.60831271
24	1.602901845
25	1.600102803
26	1.597660057
27	1.5941542
28	1.591055621
29	1.587698239
30	1.585761571
31	1.583765158
32	1.582385934
33	1.580243179
34	1.578878475
35	1.576926152
36	1.574474594
37	1.572264618
38	1.569879212
39	1.568350809
40	1.566652477
41	1.565472021
42	1.56448455
43	1.562287283
44	1.561179517
45	1.559807159
46	1.559015756
47	1.558187499
48	1.556155292
49	1.555524775
50	1.554915206
51	1.554379985
52	1.552844761
53	1.55182156
54	1.551358624
55	1.550648216
56	1.54962922
57	1.548799942
58	1.547934268
59	1.546979084
60	1.546288549
61	1.545808383
62	1.544900431
63	1.544229768
64	1.5425214
65	1.541476389
66	1.540961664
67	1.540320515
68	1.539660694
69	1.539067959
70	1.538416015
71	1.537651621
72	1.536811394
73	1.5362394
74	1.53540625
75	1.534621397
76	1.53377111
77	1.533363255
78	1.532518417
79	1.531914663
80	1.531195629
81	1.530815625
82	1.530392552
83	1.529729156
84	1.529159435
85	1.52826994
86	1.527756696
87	1.52719007
88	1.52621012
89	1.525659139
90	1.525263156
91	1.524754893
92	1.524203323
93	1.523531923
94	1.523027426
95	1.522315919
96	1.521757677
97	1.520945307
98	1.520613229
99	1.520299958
100	1.519943329
101	1.519606958
102	1.519304982
103	1.518942117
104	1.518588942
105	1.518080052
106	1.517717663
107	1.517302529
108	1.516785051
109	1.516347286
110	1.516148392
111	1.515634985
112	1.51527011
113	1.514779454
114	1.514242342
115	1.513956692
116	1.513625615
117	1.513179732
118	1.512650828
119	1.512388428
120	1.511674911
121	1.511364187
122	1.510758899
123	1.509708813
124	1.509255992
125	1.50905268
126	1.508622149
127	1.508288613
128	1.507712587
129	1.507232824
130	1.506844139
131	1.50648619
132	1.505521603
133	1.505334067
134	1.504821285
135	1.504496591
136	1.503859342
137	1.503484697
138	1.503036743
139	1.502701126
140	1.502302409
141	1.501925016
142	1.501586517
143	1.500805251
144	1.500276108
145	1.499897716
146	1.499621227
147	1.498964279
148	1.498479138
149	1.497624266
150	1.497111242
151	1.496504907
152	1.496007617
153	1.495649541
154	1.495408574
155	1.494650644
156	1.494164595
157	1.493744888
158	1.493452979
159	1.492908316
160	1.492293216
161	1.491919802
162	1.491416888
163	1.491085997
164	1.490514514
165	1.490188718
166	1.489718411
167	1.489224102
168	1.488993468
169	1.488734018
170	1.488287973
171	1.487953782
172	1.48767333
173	1.487180062
174	1.486878221
175	1.486642993
176	1.486477462
177	1.486241809
178	1.486020844
179	1.485558762
180	1.485193428
181	1.484912972
182	1.484484297
183	1.484202711
184	1.48383132
185	1.483467947
186	1.483137918
187	1.482868762
188	1.482396552
189	1.482028
190	1.481705478
191	1.481409769
192	1.481064956
193	1.480834858
194	1.480381535
195	1.479922516
196	1.479338301
197	1.479148497
198	1.478961054
199	1.478458503
200	1.478140612
201	1.477873252
202	1.477544595
203	1.477297584
204	1.477176449
205	1.476928195
206	1.476487463
207	1.476178251
208	1.475789598
209	1.475640188
210	1.475259831
211	1.475056052
212	1.474855493
213	1.474550937
214	1.474359038
215	1.474016761
216	1.473639461
217	1.473221643
218	1.47285038
219	1.472632205
220	1.472407488
221	1.472064883
222	1.47188488
223	1.471542732
224	1.471319071
225	1.470993631
226	1.470608082
227	1.470266976
228	1.46994812
229	1.46975186
230	1.469564059
231	1.469171596
232	1.468995754
233	1.468702695
234	1.468392047
235	1.468109615
236	1.467977361
237	1.467635132
238	1.467462366
239	1.467083584
240	1.466720766
241	1.466460321
242	1.466064104
243	1.465631722
244	1.465328027
245	1.464945208
246	1.464735625
247	1.46440206
248	1.463991465
249	1.463897998
250	1.463585601
251	1.463361533
252	1.463124083
253	1.462924103
254	1.462675559
255	1.462450436
256	1.462243631
257	1.461964368
258	1.461741761
259	1.461202882
260	1.460573996
261	1.460492968
262	1.460260906
263	1.460076261
264	1.459785321
265	1.459477199
266	1.459267253
267	1.458984125
268	1.458796202
269	1.458690629
270	1.458430419
271	1.458157266
272	1.45793253
273	1.457666777
274	1.457468365
275	1.457158343
276	1.456866246
277	1.456471293
278	1.456263598
279	1.456170502
280	1.455872622
281	1.455666803
282	1.455473047
283	1.455265824
284	1.455029461
285	1.454729884
286	1.454408136
287	1.45409163
288	1.453815179
289	1.453549841
290	1.453282763
291	1.453063909
292	1.452746119
293	1.452491283
294	1.452302331
295	1.452034013
296	1.451802576
297	1.451524627
298	1.451230943
299	1.451000316
300	1.450819131
301	1.450560289
302	1.450347031
303	1.450137032
304	1.449925583
305	1.449629421
306	1.44935641
307	1.449063135
308	1.448763092
309	1.448487437
310	1.448172514
311	1.447959283
312	1.447699164
313	1.447431269
314	1.447136469
315	1.44680526
316	1.446525411
317	1.446386641
318	1.446129004
319	1.445847134
320	1.445654318
321	1.445350389
322	1.445083408
323	1.444857846
324	1.444599022
325	1.444350314
326	1.444171008
327	1.443924613
328	1.443729809
329	1.443473371
330	1.44315505
331	1.443030323
332	1.442859143
333	1.442756368
334	1.442551594
335	1.442292162
336	1.441918419
337	1.441670088
338	1.441380963
339	1.441131694
340	1.44088254
341	1.440590026
342	1.440384546
343	1.440211186
344	1.439988935
345	1.439756317
346	1.439505976
347	1.439244682
348	1.439036507
349	1.438833804
350	1.438473065
351	1.438259075
352	1.438129158
353	1.437858389
354	1.437743526
355	1.437538293
356	1.437396526
357	1.437236172
358	1.437190043
359	1.436940599
360	1.436702892
361	1.436543876
362	1.436211034
363	1.435936653
364	1.435527933
365	1.435138291
366	1.434814422
367	1.434547564
368	1.434210585
369	1.434053257
370	1.433843921
371	1.433659874
372	1.433311799
373	1.433057509
374	1.432870632
375	1.432696606
376	1.432417392
377	1.432273782
378	1.431947706
379	1.431857979
380	1.43169498
381	1.431447933
382	1.431089087
383	1.430956408
384	1.430834636
385	1.430616472
386	1.430434845
387	1.43022188
388	1.430043079
389	1.429786306
390	1.42961678
391	1.429429172
392	1.429162392
393	1.428951086
394	1.428607262
395	1.42827559
396	1.427975502
397	1.427741644
398	1.427526287
399	1.427250983
400	1.427103305
401	1.42679668
402	1.42653673
403	1.426203134
404	1.426001925
405	1.425811299
406	1.425604138
407	1.425358569
408	1.425119311
409	1.424932902
410	1.424806016
411	1.424631923
412	1.424436982
413	1.42417363
414	1.423909887
415	1.423744736
416	1.423533663
417	1.423363689
418	1.423157569
419	1.422952646
420	1.422642797
421	1.422424164
422	1.422188162
423	1.421980118
424	1.421694361
425	1.421473894
426	1.421180124
