iter	Passed	Remaining
0	393	392637
1	583	291290
2	724	240717
3	860	214282
4	992	197497
5	1132	187636
6	1267	179860
7	1405	174328
8	1539	169505
9	1673	165685
10	1883	169300
11	2031	167226
12	2181	165638
13	2346	165234
14	2495	163848
15	2636	162117
16	2771	160262
17	2900	158245
18	3037	156852
19	3168	155270
20	3305	154093
21	3438	152843
22	3568	151595
23	3698	150394
24	3830	149381
25	3954	148129
26	4084	147189
27	4213	146279
28	4348	145609
29	4478	144802
30	4607	144018
31	4731	143134
32	4862	142493
33	4986	141685
34	5114	141014
35	5246	140496
36	5377	139951
37	5502	139300
38	5635	138864
39	5758	138199
40	5890	137789
41	6020	137317
42	6148	136844
43	6278	136404
44	6408	135993
45	6536	135567
46	6667	135186
47	6792	134719
48	6922	134356
49	7047	133911
50	7179	133587
51	7305	133176
52	7434	132844
53	7568	132588
54	7709	132469
55	7857	132457
56	8014	132597
57	8168	132667
58	8314	132604
59	8455	132467
60	8587	132194
61	8713	131821
62	8849	131611
63	8977	131300
64	9107	131015
65	9239	130751
66	9367	130447
67	9494	130130
68	9626	129893
69	9766	129754
70	9904	129600
71	10033	129323
72	10169	129137
73	10297	128861
74	10431	128658
75	10556	128345
76	10693	128179
77	10815	127841
78	10948	127636
79	11071	127322
80	11202	127104
81	11328	126823
82	11459	126611
83	11591	126402
84	11736	126334
85	11866	126111
86	12000	125935
87	12146	125879
88	12280	125704
89	12409	125478
90	12540	125268
91	12669	125041
92	12799	124832
93	12934	124669
94	13079	124603
95	13215	124446
96	13359	124370
97	13512	124367
98	13658	124306
99	13796	124171
100	13936	124053
101	14071	123881
102	14210	123752
103	14347	123606
104	14476	123398
105	14603	123161
106	14738	123002
107	14882	122915
108	15014	122730
109	15140	122497
110	15270	122299
111	15397	122078
112	15535	121950
113	15680	121871
114	15825	121785
115	15972	121719
116	16119	121652
117	16253	121486
118	16381	121278
119	16506	121051
120	16635	120849
121	16762	120634
122	16896	120476
123	17026	120281
124	17158	120106
125	17285	119898
126	17417	119727
127	17543	119517
128	17675	119342
129	17800	119126
130	17937	118990
131	18067	118806
132	18205	118680
133	18329	118456
134	18461	118289
135	18587	118087
136	18716	117902
137	18841	117692
138	18974	117533
139	19101	117337
140	19231	117162
141	19358	116968
142	19488	116794
143	19611	116580
144	19742	116414
145	19870	116228
146	20001	116060
147	20126	115864
148	20256	115694
149	20382	115499
150	20511	115327
151	20641	115155
152	20781	115044
153	20919	114919
154	21056	114789
155	21202	114709
156	21336	114564
157	21460	114365
158	21592	114211
159	21718	114020
160	21856	113898
161	21994	113772
162	22138	113682
163	22269	113519
164	22435	113534
165	22576	113428
166	22714	113302
167	22849	113161
168	22978	112988
169	23117	112867
170	23247	112704
171	23373	112517
172	23510	112387
173	23641	112228
174	23768	112051
175	23893	111863
176	24018	111677
177	24150	111525
178	24278	111357
179	24414	111223
180	24548	111077
181	24679	110920
182	24821	110814
183	24963	110705
184	25102	110588
185	25238	110450
186	25368	110291
187	25499	110137
188	25631	109987
189	25759	109818
190	25895	109683
191	26024	109518
192	26161	109388
193	26287	109216
194	26417	109058
195	26544	108888
196	26679	108750
197	26806	108579
198	26940	108438
199	27068	108275
200	27209	108162
201	27371	108132
202	27532	108095
203	27657	107920
204	27790	107774
205	27919	107613
206	28051	107463
207	28185	107321
208	28321	107188
209	28456	107049
210	28590	106910
211	28716	106738
212	28848	106591
213	28979	106436
214	29114	106301
215	29244	106147
216	29377	106001
217	29501	105828
218	29632	105674
219	29768	105541
220	29899	105393
221	30030	105242
222	30158	105080
223	30289	104932
224	30420	104781
225	30548	104622
226	30676	104462
227	30806	104308
228	30938	104165
229	31066	104006
230	31201	103869
231	31335	103732
232	31462	103569
233	31586	103399
234	31716	103248
235	31846	103095
236	31973	102936
